City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,prado,-17.3411,-39.2208,28.64,72,100,4.01,BR,1706545276
230,sechura,-5.5569,-80.8222,28.28,64,94,2.72,PE,1706545276
231,atafu village,-8.5421,-172.5159,28.66,73,99,1.72,TK,1706545277
232,farasan,16.7022,42.1183,25.91,74,67,4.46,SA,1706545277
233,refahiye,39.9008,38.7667,-12.15,91,23,1.06,TR,1706545277
234,swift current,50.2834,-107.8014,1.45,93,0,5.66,CA,1706545093
235,codrington,-38.2667,141.9667,12.62,89,0,3.22,AU,1706545278
236,igrim,63.1906,64.4162,-18.08,99,64,2.14,RU,1706545278
237,jiangyou,31.7667,104.7167,6.18,65,93,1.41,CN,1706545278
238,severo-yeniseyskiy,60.3725,93.0408,-29.68,98,34,1.79,RU,1706545278
239,kwang binh,17.4833,106.6,18.2,89,100,2.16,VN,1706545279
240,kapa'a,22.0752,-159.319,23.18,87,100,7.2,US,1706545279
241,abou el hassan,36.4166,1.1962,23.69,61,100,2.32,DZ,1706545279
242,pacasmayo,-7.4006,-79.5714,25.69,78,98,3.8,PE,1706545280
243,port hedland,-20.3167,118.5667,26.03,83,18,5.66,AU,1706545280
244,nanao,37.05,136.9667,0.66,78,6,0.57,JP,1706545280
245,saint-denis,48.9167,2.3333,13.45,76,0,4.12,FR,1706545281
246,tolanaro,-25.0319,46.9987,25.04,83,75,6.17,MG,1706545281
247,at taj,24.2049,23.2857,15.37,39,0,5.44,LY,1706545281
248,gohadi,26.4261,78.4447,15.43,49,26,1.79,IN,1706545282
249,sroda wielkopolska,52.2284,17.2762,5.96,69,100,3.54,PL,1706545282
250,rio grande,-32.035,-52.0986,26.06,69,72,5.13,BR,1706545282
251,polyarnyy,69.1989,33.4478,2.21,67,91,16.38,RU,1706545283
252,ciudad bolivar,8.1222,-63.5497,34.18,34,4,3.75,VE,1706545283
253,midvagur,62.0511,-7.1939,8.46,76,75,7.72,FO,1706545284
254,kachug,53.9606,105.8817,-37.48,100,53,0.64,RU,1706545285
255,hekimhan,38.818,37.9312,-3.71,81,60,1.14,TR,1706545285
256,ehningen,48.6588,8.9412,10.75,59,94,0.74,DE,1706545286
257,san ignacio,17.1561,-89.0714,21.08,83,75,3.09,BZ,1706545011
258,sariveliler,36.6913,32.6196,-3.51,75,100,3.48,TR,1706545286
259,cam ranh,11.9214,109.1591,24.98,78,75,5.14,VN,1706545287
260,zamosc,50.7231,23.252,-0.07,83,25,3.39,PL,1706545287
261,al bawiti,28.3492,28.8659,13.26,50,13,6.25,EG,1706545287
262,bredasdorp,-34.5322,20.0403,30.39,22,10,10.55,ZA,1706545288
263,zeya,53.75,127.2667,-23.62,96,96,1.03,RU,1706545288
264,salinas,36.6777,-121.6555,17.07,75,0,9.77,US,1706545226
265,bozeman,45.6796,-111.0386,5.51,85,0,2.06,US,1706545223
266,mejit,10.2753,170.8646,25.77,74,99,6.18,MH,1706545289
267,la libertad,-2.2333,-80.9,28.81,74,40,3.09,EC,1706545290
268,richards bay,-28.783,32.0377,26.77,68,7,6.73,ZA,1706545290
269,krasnyy kut,50.95,46.9667,-12.5,100,40,1.84,RU,1706545290
270,alaghsas,17.0187,8.0168,26.94,12,67,10.29,NE,1706545290
271,kenora,49.8167,-94.4337,-2.46,93,100,2.57,CA,1706545290
272,remire-montjoly,4.9167,-52.2667,26.02,94,75,2.57,GF,1706545291
273,cururupu,-1.8283,-44.8683,29.17,68,88,3.02,BR,1706545291
274,novodvinsk,64.4165,40.8122,0.86,92,100,5.03,RU,1706545291
275,taltal,-25.4,-70.4833,22.07,73,16,2.49,CL,1706545291
276,highfields,-27.4518,151.9463,21.87,97,100,5.93,AU,1706545291
277,nantucket,41.2835,-70.0995,2.22,100,100,9.77,US,1706545003
278,sambava,-14.2667,50.1667,24.49,93,91,2.5,MG,1706545292
279,kuta,-8.7233,115.1723,26.97,88,20,1.03,ID,1706545292
280,warmbad,-28.45,18.7333,31.54,18,91,10.19,NA,1706545293
281,mili,6.0815,171.735,27.54,84,100,7.52,MH,1706545293
282,muang khong,14.1167,105.85,23.92,54,90,1.35,LA,1706545293
283,santa teresa di riva,37.947,15.3677,13.45,66,47,0.9,IT,1706545293
284,hangu,39.2489,117.7892,-1.98,80,9,4.13,CN,1706545293
285,bandundu,-3.3167,17.3667,31.45,55,93,0.42,CD,1706545020
286,khandyga,62.6667,135.6,-47.15,100,81,0.98,RU,1706545294
287,masallatah,32.6167,14.0,13.19,58,49,5.39,LY,1706545294
288,kill devil hills,36.0307,-75.676,9.0,75,100,5.66,US,1706545294
289,lesozavodsk,45.4794,133.4244,-25.15,100,76,1.44,RU,1706545295
290,xinmin,41.9908,122.8253,-11.84,81,3,2.16,CN,1706545295
291,westerland,54.9079,8.3033,5.57,100,100,4.63,DE,1706545295
292,toliara,-23.35,43.6667,26.43,80,55,2.35,MG,1706545295
293,tarancon,40.0085,-3.0073,13.29,56,100,3.44,ES,1706545295
294,charters towers,-20.1,146.2667,25.59,89,100,1.67,AU,1706545296
295,tura,25.5198,90.2201,14.01,56,0,1.36,IN,1706545296
296,ourem,39.6417,-8.5919,19.23,100,83,2.6,PT,1706545296
297,nis,43.7031,7.2661,13.89,62,0,2.57,FR,1706545296
298,ulricehamn,57.7916,13.4142,4.67,82,100,2.24,SE,1706545296
299,sao geraldo do araguaia,-6.4006,-48.555,27.39,86,86,1.86,BR,1706545297
300,revda,56.801,59.9303,-10.22,94,100,3.18,RU,1706545297
301,paris,48.8534,2.3488,13.47,77,0,4.12,FR,1706545061
302,kuanda,56.3161,116.0806,-35.9,95,58,0.44,RU,1706545297
303,as sulayyil,20.4607,45.5779,24.14,40,99,4.81,SA,1706545298
304,oakdale,44.963,-92.9649,2.98,90,0,2.06,US,1706545131
305,madang,-5.2246,145.7966,24.96,93,97,3.12,PG,1706545298
306,calingasta,-31.3308,-69.4078,29.78,25,2,1.38,AR,1706545298
307,kiunga,-6.1219,141.2906,23.83,99,100,1.11,PG,1706545298
308,kavieng,-2.5744,150.7967,27.81,79,100,5.09,PG,1706545298
309,hadibu,12.65,54.0333,24.78,66,46,3.76,YE,1706545299
